CIK,Ticker,Date,Type,Address
0000868725,RTK,2005-05-23 00:00:00,10-K/A,edgar/data/868725/0001193125-05-113122.txt
0000868725,RTK,2005-05-23 00:00:00,10-Q/A,edgar/data/868725/0001193125-05-113125.txt
0000868725,RTK,2005-07-15 00:00:00,10-K/A,edgar/data/868725/0001193125-05-143168.txt
0000868725,RTK,2005-07-15 00:00:00,10-Q/A,edgar/data/868725/0001193125-05-143170.txt
0000868725,RTK,2005-07-15 00:00:00,10-Q/A,edgar/data/868725/0001193125-05-143177.txt
0000868725,RTK,2005-07-26 00:00:00,10-Q/A,edgar/data/868725/0001193125-05-149052.txt
0000868725,RTK,2005-08-09 00:00:00,10-Q,edgar/data/868725/0001193125-05-162365.txt
0000868725,RTK,2005-12-09 00:00:00,10-K,edgar/data/868725/0001193125-05-240116.txt
0000868725,RTK,2006-01-30 00:00:00,10-K/A,edgar/data/868725/0001193125-06-015269.txt
0000868725,RTK,2006-02-09 00:00:00,10-Q,edgar/data/868725/0001193125-06-024937.txt
0000868725,RTK,2006-05-10 00:00:00,10-Q,edgar/data/868725/0001104659-06-033357.txt
0000868725,RTK,2006-08-09 00:00:00,10-Q,edgar/data/868725/0001104659-06-053240.txt
0000868725,RTK,2006-12-14 00:00:00,10-K,edgar/data/868725/0001104659-06-081594.txt
0000868725,RTK,2007-01-29 00:00:00,10-K/A,edgar/data/868725/0001104659-07-005309.txt
0000868725,RTK,2007-02-09 00:00:00,10-Q,edgar/data/868725/0001104659-07-008993.txt
0000868725,RTK,2007-05-10 00:00:00,10-Q,edgar/data/868725/0001104659-07-037978.txt
0000868725,RTK,2007-08-09 00:00:00,10-Q,edgar/data/868725/0000936392-07-000662.txt
0000868725,RTK,2007-12-14 00:00:00,10-K,edgar/data/868725/0000936392-07-000942.txt
0000868725,RTK,2008-01-28 00:00:00,10-K/A,edgar/data/868725/0000936392-08-000077.txt
0000868725,RTK,2008-02-08 00:00:00,10-Q,edgar/data/868725/0000936392-08-000105.txt
0000868725,RTK,2008-05-09 00:00:00,10-Q,edgar/data/868725/0000936392-08-000337.txt
0000868725,RTK,2008-08-11 00:00:00,10-Q,edgar/data/868725/0000936392-08-000529.txt
0000868725,RTK,2008-12-15 00:00:00,10-K,edgar/data/868725/0001362310-08-008224.txt
0000868725,RTK,2009-01-28 00:00:00,10-K/A,edgar/data/868725/0001362310-09-000780.txt
0000868725,RTK,2009-02-09 00:00:00,10-Q,edgar/data/868725/0001362310-09-001460.txt
0000868725,RTK,2009-05-11 00:00:00,10-Q,edgar/data/868725/0001362310-09-007100.txt
0000868725,RTK,2009-08-10 00:00:00,10-Q,edgar/data/868725/0000950123-09-033027.txt
0000868725,RTK,2009-12-14 00:00:00,10-K,edgar/data/868725/0000950123-09-070598.txt
0000868725,RTK,2010-01-28 00:00:00,10-K/A,edgar/data/868725/0000950123-10-006177.txt
0000868725,RTK,2010-02-09 00:00:00,10-Q,edgar/data/868725/0000950123-10-010532.txt
0000868725,RTK,2010-05-07 00:00:00,10-Q,edgar/data/868725/0000950123-10-046263.txt
0000868725,RTK,2010-08-09 00:00:00,10-Q,edgar/data/868725/0000950123-10-075011.txt
0000868725,RTK,2010-12-14 00:00:00,10-K,edgar/data/868725/0000950123-10-113549.txt
0000868725,RTK,2011-01-28 00:00:00,10-K/A,edgar/data/868725/0000950123-11-006698.txt
0000868725,RTK,2011-02-09 00:00:00,10-Q,edgar/data/868725/0000950123-11-011008.txt
0000868725,RTK,2011-05-10 00:00:00,10-Q,edgar/data/868725/0000950123-11-048209.txt
0000868725,RTK,2011-08-09 00:00:00,10-Q,edgar/data/868725/0000950123-11-075089.txt
0000868725,RTK,2011-12-14 00:00:00,10-K,edgar/data/868725/0000950123-11-103022.txt
0000868725,RTK,2012-01-30 00:00:00,10-K/A,edgar/data/868725/0001193125-12-029447.txt
0000868725,RTK,2012-03-15 00:00:00,10-KT,edgar/data/868725/0001193125-12-117369.txt
0000868725,RTK,2012-05-10 00:00:00,10-Q,edgar/data/868725/0001193125-12-225487.txt
0000868725,RTK,2012-08-09 00:00:00,10-Q,edgar/data/868725/0001193125-12-347665.txt
0000868725,RTK,2012-11-08 00:00:00,10-Q,edgar/data/868725/0001193125-12-458849.txt
0000868725,RTK,2013-03-18 00:00:00,10-K,edgar/data/868725/0001193125-13-112558.txt
